Airline,Source,Source Name,Destination,Destination Name,Departure Date & Time,Arrival Date & Time,Duration (hrs),Stopovers,Aircraft Type,Class,Booking Source,Base Fare (BDT),Tax & Surcharge (BDT),Total Fare (BDT),Seasonality,Days Before Departure
Emirates,RJH,"Shah Makhdum Airport, Rajshahi",YYZ,Toronto Pearson International Airport,2025-11-04,2025-11-05,13.92327945,1 Stop,Boeing 777,Economy,Direct Booking,42342.72806,12351.40921,54694.13727,Regular,90
Biman Bangladesh Airlines,CXB,Cox's Bazar Airport,YYZ,Toronto Pearson International Airport,2025-11-03,2025-11-04,15.0919049,1 Stop,Boeing 777,Business,Travel Agency,43227.96194,12484.19429,55712.15623,Regular,45
NovoAir,RJH,"Shah Makhdum Airport, Rajshahi",CGP,"Shah Amanat International Airport, Chittagong",2025-09-08,2025-09-08,1.429665104,Direct,Airbus A320,First Class,Direct Booking,10841.30302,200,11041.30302,Regular,48
FlyDubai,CXB,Cox's Bazar Airport,RJH,"Shah Makhdum Airport, Rajshahi",2026-02-22,2026-02-23,1.612434591,Direct,Airbus A320,Economy,Direct Booking,2786.29484,200,2986.29484,Winter Holidays,67
NovoAir,ZYL,"Osmani International Airport, Sylhet",SPD,Saidpur Airport,2025-11-18,2025-11-18,0.960243512,Direct,Airbus A320,Economy,Direct Booking,3199.388832,200,3399.388832,Regular,52
Saudia,CGP,"Shah Amanat International Airport, Chittagong",CCU,"Netaji Subhas Chandra Bose International Airport, Kolkata",2025-12-22,2025-12-22,1.218343564,Direct,Airbus A320,Business,Online Website,140806.234,23120.93511,163927.1691,Winter Holidays,76
Thai Airways,SPD,Saidpur Airport,JSR,Jessore Airport,2026-01-12,2026-01-12,0.862968717,Direct,Airbus A320,First Class,Online Website,10963.8108,200,11163.8108,Winter Holidays,38
Gulf Air,ZYL,"Osmani International Airport, Sylhet",DEL,"Indira Gandhi International Airport, Delhi",2025-05-17,2025-05-17,2.68928363,Direct,Boeing 737,Business,Travel Agency,131458.0712,21718.71067,153176.7818,Regular,19
Singapore Airlines,DAC,"Hazrat Shahjalal International Airport, Dhaka",YYZ,Toronto Pearson International Airport,2025-04-02,2025-04-03,14.23456762,1 Stop,Boeing 777,Business,Direct Booking,130089.5673,25513.43509,155603.0023,Eid,27
Saudia,BZL,Barisal Airport,CXB,Cox's Bazar Airport,2025-03-04,2025-03-04,0.709442578,Direct,Airbus A320,Economy,Direct Booking,3827.894015,200,4027.894015,Regular,15
Kuwait Airways,DAC,"Hazrat Shahjalal International Airport, Dhaka",IST,Istanbul Airport,2025-03-14,2025-03-15,6.766236259,1 Stop,Boeing 777,Business,Direct Booking,92915.70608,17937.35591,110853.062,Regular,64
Air India,BZL,Barisal Airport,DXB,Dubai International Airport,2025-04-02,2025-04-02,4.136763254,Direct,Boeing 787,First Class,Direct Booking,131541.4181,23731.21272,155272.6308,Eid,74
Emirates,CXB,Cox's Bazar Airport,BZL,Barisal Airport,2025-03-02,2025-03-02,0.725931688,Direct,Airbus A320,First Class,Online Website,10280.50155,200,12576.60186,Regular,3
FlyDubai,CGP,"Shah Amanat International Airport, Chittagong",DEL,"Indira Gandhi International Airport, Delhi",2025-06-13,2025-06-13,2.829321723,Direct,Boeing 787,First Class,Online Website,44178.19074,8626.728611,52804.91935,Regular,31
Kuwait Airways,ZYL,"Osmani International Airport, Sylhet",DEL,"Indira Gandhi International Airport, Delhi",2025-05-02,2025-05-02,2.769580166,Direct,Boeing 737,Economy,Travel Agency,38828.39908,7824.259861,46652.65894,Regular,75
Etihad Airways,SPD,Saidpur Airport,CXB,Cox's Bazar Airport,2025-05-17,2025-05-17,0.877167343,Direct,Airbus A320,First Class,Online Website,11427.29956,200,11627.29956,Regular,12
US-Bangla Airlines,ZYL,"Osmani International Airport, Sylhet",DXB,Dubai International Airport,2026-02-08,2026-02-08,3.97069126,1 Stop,Boeing 737,Business,Direct Booking,89500.24333,17425.0365,106925.2798,Winter Holidays,90
Air Astra,JSR,Jessore Airport,SIN,Singapore Changi Airport,2026-01-29,2026-01-29,3.521957274,Direct,Boeing 737,Economy,Direct Booking,10049.92273,7507.48841,17557.41114,Winter Holidays,84
AirAsia,SPD,Saidpur Airport,BKK,"Suvarnabhumi Airport, Bangkok",2026-01-21,2026-01-21,3.011053367,1 Stop,Boeing 787,Business,Direct Booking,149105.7413,28365.8612,177471.6025,Winter Holidays,34
NovoAir,JSR,Jessore Airport,CGP,"Shah Amanat International Airport, Chittagong",2025-04-17,2025-04-17,0.967599516,Direct,Airbus A320,First Class,Direct Booking,12108.86488,200,12308.86488,Regular,42
Gulf Air,JSR,Jessore Airport,SIN,Singapore Changi Airport,2025-02-04,2025-02-04,3.292682693,1 Stop,Boeing 737,First Class,Online Website,131807.1354,25771.07031,157578.2057,Regular,28
Singapore Airlines,CGP,"Shah Amanat International Airport, Chittagong",JSR,Jessore Airport,2025-06-20,2025-06-20,1.031768606,Direct,Airbus A320,Economy,Direct Booking,2559.775534,200,2759.775534,Regular,78
Air India,CXB,Cox's Bazar Airport,DEL,"Indira Gandhi International Airport, Delhi",2025-12-02,2025-12-02,2.875249901,1 Stop,Boeing 737,First Class,Online Website,59474.57647,10921.18647,70395.76295,Winter Holidays,12
Air India,CGP,"Shah Amanat International Airport, Chittagong",DEL,"Indira Gandhi International Airport, Delhi",2025-10-02,2025-10-02,2.730879963,Direct,Boeing 787,Business,Travel Agency,92544.76016,15881.71402,108426.4742,Regular,42
Air India,RJH,"Shah Makhdum Airport, Rajshahi",JSR,Jessore Airport,2025-05-05,2025-05-05,0.5,Direct,Airbus A320,Business,Direct Booking,6290.514205,200,6490.514205,Regular,76
IndiGo,BZL,Barisal Airport,SIN,Singapore Changi Airport,2025-10-06,2025-10-06,3.227268312,Direct,Boeing 787,First Class,Travel Agency,276265.4528,47439.81791,323705.2707,Regular,14
Biman Bangladesh Airlines,CXB,Cox's Bazar Airport,YYZ,Toronto Pearson International Airport,2025-03-11,2025-03-12,15.52208376,1 Stop,Airbus A350,First Class,Online Website,108467.8378,22270.17567,130738.0134,Regular,60
British Airways,JSR,Jessore Airport,DOH,"Hamad International Airport, Doha",2026-01-12,2026-01-12,4.614482927,1 Stop,Boeing 787,First Class,Travel Agency,279130.8776,45869.63163,325000.5092,Winter Holidays,86
Qatar Airways,CGP,"Shah Amanat International Airport, Chittagong",ZYL,"Osmani International Airport, Sylhet",2025-03-03,2025-03-03,0.93610711,Direct,Airbus A320,Business,Direct Booking,5589.928587,200,5789.928587,Regular,61
Malaysian Airlines,ZYL,"Osmani International Airport, Sylhet",DAC,"Hazrat Shahjalal International Airport, Dhaka",2025-10-01,2025-10-01,0.608724217,Direct,Airbus A320,Economy,Direct Booking,3240.844749,200,3440.844749,Regular,14
Air Arabia,RJH,"Shah Makhdum Airport, Rajshahi",DXB,Dubai International Airport,2025-04-05,2025-04-05,3.534804894,Direct,Boeing 737,Economy,Online Website,12779.45712,5916.918567,18696.37568,Regular,52
Air Arabia,RJH,"Shah Makhdum Airport, Rajshahi",YYZ,Toronto Pearson International Airport,2025-02-18,2025-02-19,14.66919956,1 Stop,Boeing 777,Economy,Direct Booking,6484.838386,6972.725758,13457.56414,Regular,39
Saudia,BZL,Barisal Airport,DOH,"Hamad International Airport, Doha",2025-12-29,2025-12-30,4.129175212,1 Stop,Boeing 787,First Class,Direct Booking,159875.8422,27981.37633,187857.2185,Winter Holidays,32
Thai Airways,SPD,Saidpur Airport,DAC,"Hazrat Shahjalal International Airport, Dhaka",2025-11-25,2025-11-25,0.783007477,Direct,Airbus A320,Business,Direct Booking,8887.917374,200,9087.917374,Regular,11
SriLankan Airlines,ZYL,"Osmani International Airport, Sylhet",BZL,Barisal Airport,2025-05-26,2025-05-26,0.9076138,Direct,Airbus A320,First Class,Travel Agency,10444.21879,200,10644.21879,Regular,80
FlyDubai,ZYL,"Osmani International Airport, Sylhet",RJH,"Shah Makhdum Airport, Rajshahi",2026-01-08,2026-01-08,1.100098149,Direct,Airbus A320,Business,Travel Agency,7782.76598,200,7982.76598,Winter Holidays,14
Saudia,JSR,Jessore Airport,ZYL,"Osmani International Airport, Sylhet",2025-05-05,2025-05-05,1.197954497,Direct,Airbus A320,Business,Travel Agency,7770.564068,200,7970.564068,Regular,35
AirAsia,CGP,"Shah Amanat International Airport, Chittagong",ZYL,"Osmani International Airport, Sylhet",2025-10-29,2025-10-29,0.924254851,Direct,Airbus A320,Business,Online Website,8915.708871,200,9115.708871,Regular,7
AirAsia,CXB,Cox's Bazar Airport,IST,Istanbul Airport,2025-03-16,2025-03-17,7.496287891,1 Stop,Airbus A350,Business,Travel Agency,111243.8754,20686.58131,131930.4567,Regular,69
Gulf Air,CXB,Cox's Bazar Airport,JSR,Jessore Airport,2025-04-09,2025-04-09,1.085205134,Direct,Airbus A320,First Class,Direct Booking,10177.45048,200,10377.45048,Regular,25
Saudia,CGP,"Shah Amanat International Airport, Chittagong",KUL,Kuala Lumpur International Airport,2025-08-06,2025-08-06,2.767653785,Direct,Boeing 787,Economy,Travel Agency,47658.70818,13148.80623,60807.5144,Regular,81
US-Bangla Airlines,SPD,Saidpur Airport,CCU,"Netaji Subhas Chandra Bose International Airport, Kolkata",2026-01-25,2026-01-25,1.124545947,Direct,Airbus A320,First Class,Travel Agency,228613.6896,36292.05344,264905.743,Winter Holidays,69
Singapore Airlines,BZL,Barisal Airport,RJH,"Shah Makhdum Airport, Rajshahi",2026-02-26,2026-02-26,0.911553765,Direct,Airbus A320,First Class,Travel Agency,10220.43625,200,10420.43625,Winter Holidays,71
Malaysian Airlines,RJH,"Shah Makhdum Airport, Rajshahi",SIN,Singapore Changi Airport,2025-03-31,2025-03-31,3.665123916,Direct,Boeing 737,Business,Online Website,110837.4784,22625.62176,133463.1002,Eid,84
SriLankan Airlines,ZYL,"Osmani International Airport, Sylhet",CCU,"Netaji Subhas Chandra Bose International Airport, Kolkata",2025-02-12,2025-02-12,1.536022742,Direct,Airbus A320,Economy,Online Website,11723.53902,3758.530853,15482.06987,Regular,26
British Airways,BZL,Barisal Airport,JFK,"John F. Kennedy International Airport, New York",2025-10-18,2025-10-19,14.14209864,2 Stops,Airbus A350,Economy,Online Website,6750.158376,7012.523756,13762.68213,Regular,8
Biman Bangladesh Airlines,ZYL,"Osmani International Airport, Sylhet",CCU,"Netaji Subhas Chandra Bose International Airport, Kolkata",2025-03-26,2025-03-27,1.393668951,Direct,Airbus A320,Economy,Online Website,16359.00865,4453.851297,20812.85994,Regular,76
Gulf Air,CGP,"Shah Amanat International Airport, Chittagong",ZYL,"Osmani International Airport, Sylhet",2025-05-23,2025-05-23,1.087960082,Direct,Airbus A320,Business,Online Website,5849.763414,200,6049.763414,Regular,77
Saudia,BZL,Barisal Airport,IST,Istanbul Airport,2025-12-11,2025-12-11,6.51693468,1 Stop,Boeing 777,First Class,Travel Agency,40848.34611,10127.25192,50975.59803,Winter Holidays,85
SriLankan Airlines,CXB,Cox's Bazar Airport,SIN,Singapore Changi Airport,2025-11-06,2025-11-06,3.083086168,Direct,Boeing 787,Economy,Travel Agency,17042.76893,8556.415339,25599.18427,Regular,40
Air India,CXB,Cox's Bazar Airport,DAC,"Hazrat Shahjalal International Airport, Dhaka",2025-05-22,2025-05-22,1.048082913,Direct,Airbus A320,Economy,Online Website,3437.727791,200,3637.727791,Regular,16
Emirates,JSR,Jessore Airport,RJH,"Shah Makhdum Airport, Rajshahi",2025-08-05,2025-08-05,0.5,Direct,Airbus A320,Business,Direct Booking,7430.165341,200,7630.165341,Regular,61
Emirates,RJH,"Shah Makhdum Airport, Rajshahi",SIN,Singapore Changi Airport,2025-11-27,2025-11-27,3.603712739,Direct,Boeing 787,Economy,Online Website,14991.2793,8248.691894,23239.97119,Regular,50
Emirates,CXB,Cox's Bazar Airport,DOH,"Hamad International Airport, Doha",2025-02-14,2025-02-14,4.743909808,Direct,Boeing 737,First Class,Direct Booking,29246.99573,8387.049359,37634.04508,Regular,30
SriLankan Airlines,DAC,"Hazrat Shahjalal International Airport, Dhaka",BKK,"Suvarnabhumi Airport, Bangkok",2025-04-01,2025-04-02,2.634417568,Direct,Boeing 787,Economy,Direct Booking,19916.33568,8987.450351,28903.78603,Eid,10
Saudia,ZYL,"Osmani International Airport, Sylhet",JSR,Jessore Airport,2025-04-03,2025-04-03,1.149522839,Direct,Airbus A320,Business,Direct Booking,4185.108261,200,4385.108261,Regular,77
Malaysian Airlines,SPD,Saidpur Airport,DXB,Dubai International Airport,2026-01-08,2026-01-08,3.581720119,Direct,Boeing 787,Business,Direct Booking,18755.73577,6813.360365,25569.09613,Winter Holidays,65
Emirates,BZL,Barisal Airport,RJH,"Shah Makhdum Airport, Rajshahi",2025-09-29,2025-09-29,0.773295302,Direct,Airbus A320,Business,Direct Booking,8949.739069,200,9149.739069,Regular,48
Cathay Pacific,RJH,"Shah Makhdum Airport, Rajshahi",JED,"King Abdulaziz International Airport, Jeddah",2025-02-25,2025-02-25,5.282413134,1 Stop,Boeing 777,Business,Travel Agency,24049.12042,7607.368063,31656.48848,Regular,41
Singapore Airlines,JSR,Jessore Airport,CGP,"Shah Amanat International Airport, Chittagong",2025-08-05,2025-08-05,1.037265028,Direct,Airbus A320,First Class,Travel Agency,8545.879516,200,8745.879516,Regular,89
Etihad Airways,CXB,Cox's Bazar Airport,RJH,"Shah Makhdum Airport, Rajshahi",2025-11-08,2025-11-08,1.711153278,Direct,Airbus A320,Economy,Direct Booking,2340.772004,200,2540.772004,Regular,28
Singapore Airlines,CGP,"Shah Amanat International Airport, Chittagong",SIN,Singapore Changi Airport,2025-08-14,2025-08-14,3.182107402,1 Stop,Boeing 787,Economy,Travel Agency,42123.41863,12318.51279,54441.93142,Regular,41
Air Astra,JSR,Jessore Airport,JFK,"John F. Kennedy International Airport, New York",2026-03-04,2026-03-04,13.7153457,1 Stop,Airbus A350,Business,Travel Agency,47195.0713,13079.26069,60274.33199,Regular,86
Saudia,CGP,"Shah Amanat International Airport, Chittagong",JSR,Jessore Airport,2025-04-28,2025-04-28,1.004306591,Direct,Airbus A320,First Class,Travel Agency,9625.935384,200,9825.935384,Regular,34
Emirates,BZL,Barisal Airport,YYZ,Toronto Pearson International Airport,2025-09-13,2025-09-14,14.23093105,1 Stop,Boeing 777,Economy,Online Website,23618.59857,9542.789785,33161.38835,Regular,58
AirAsia,ZYL,"Osmani International Airport, Sylhet",BZL,Barisal Airport,2025-03-17,2025-03-18,0.981396782,Direct,Airbus A320,First Class,Direct Booking,11612.76839,200,11812.76839,Regular,14
US-Bangla Airlines,ZYL,"Osmani International Airport, Sylhet",SPD,Saidpur Airport,2025-08-12,2025-08-12,1.104618714,Direct,Airbus A320,Economy,Online Website,2698.699088,200,2898.699088,Regular,79
Vistara,JSR,Jessore Airport,YYZ,Toronto Pearson International Airport,2025-10-09,2025-10-09,13.76154982,1 Stop,Boeing 777,First Class,Direct Booking,148048.521,28207.27815,176255.7991,Regular,74
British Airways,JSR,Jessore Airport,BKK,"Suvarnabhumi Airport, Bangkok",2025-03-01,2025-03-01,2.689199349,1 Stop,Boeing 737,First Class,Online Website,110146.5627,22521.98441,132668.5471,Regular,8
Vistara,JSR,Jessore Airport,DXB,Dubai International Airport,2025-10-08,2025-10-08,3.488882967,1 Stop,Boeing 737,Economy,Travel Agency,32017.38845,8802.608268,40819.99672,Regular,5
Etihad Airways,RJH,"Shah Makhdum Airport, Rajshahi",CGP,"Shah Amanat International Airport, Chittagong",2025-05-22,2025-05-22,1.458642595,Direct,Airbus A320,First Class,Travel Agency,11831.46827,200,12031.46827,Regular,48
Air Astra,JSR,Jessore Airport,DXB,Dubai International Airport,2025-03-31,2025-03-31,3.737968507,1 Stop,Boeing 737,First Class,Direct Booking,81076.5139,16161.47709,97237.99099,Eid,51
Gulf Air,RJH,"Shah Makhdum Airport, Rajshahi",BKK,"Suvarnabhumi Airport, Bangkok",2025-09-19,2025-09-19,3.057784243,Direct,Boeing 787,Business,Direct Booking,125853.8586,24878.0788,150731.9374,Regular,49
Thai Airways,JSR,Jessore Airport,CXB,Cox's Bazar Airport,2025-04-12,2025-04-12,1.221247593,Direct,Airbus A320,Business,Online Website,9904.29165,200,10104.29165,Regular,8
IndiGo,DAC,"Hazrat Shahjalal International Airport, Dhaka",RJH,"Shah Makhdum Airport, Rajshahi",2025-10-31,2025-10-31,0.669711635,Direct,Airbus A320,First Class,Direct Booking,11379.96539,200,11579.96539,Regular,53
Saudia,ZYL,"Osmani International Airport, Sylhet",JFK,"John F. Kennedy International Airport, New York",2025-06-26,2025-06-27,13.61290141,2 Stops,Boeing 777,Business,Direct Booking,81093.07186,18163.96078,99257.03264,Regular,78
AirAsia,CGP,"Shah Amanat International Airport, Chittagong",JED,"King Abdulaziz International Airport, Jeddah",2025-07-19,2025-07-19,5.925472546,2 Stops,Airbus A350,Business,Online Website,90603.72517,17590.55878,108194.2839,Regular,49
Gulf Air,RJH,"Shah Makhdum Airport, Rajshahi",SIN,Singapore Changi Airport,2025-06-20,2025-06-20,3.573913662,Direct,Boeing 737,Business,Travel Agency,40664.82296,12099.72344,52764.54641,Regular,15
US-Bangla Airlines,JSR,Jessore Airport,IST,Istanbul Airport,2025-12-16,2025-12-16,6.474495913,1 Stop,Boeing 777,Business,Direct Booking,88557.3301,17283.59952,105840.9296,Winter Holidays,31
Malaysian Airlines,JSR,Jessore Airport,JFK,"John F. Kennedy International Airport, New York",2025-10-29,2025-10-29,13.1458004,1 Stop,Airbus A350,Economy,Travel Agency,24169.80102,9625.470153,33795.27117,Regular,78
Cathay Pacific,CXB,Cox's Bazar Airport,SPD,Saidpur Airport,2025-09-01,2025-09-01,0.8841424,Direct,Airbus A320,First Class,Travel Agency,11655.36559,200,11855.36559,Regular,73
Biman Bangladesh Airlines,ZYL,"Osmani International Airport, Sylhet",BZL,Barisal Airport,2025-12-23,2025-12-23,0.935792563,Direct,Airbus A320,First Class,Online Website,12819.55001,200,13019.55001,Winter Holidays,27
FlyDubai,ZYL,"Osmani International Airport, Sylhet",LHR,London Heathrow Airport,2025-11-07,2025-11-07,9.380587028,1 Stop,Boeing 777,Business,Direct Booking,133018.5996,25952.78994,190765.6675,Regular,2
British Airways,CGP,"Shah Amanat International Airport, Chittagong",DEL,"Indira Gandhi International Airport, Delhi",2025-05-01,2025-05-01,2.451861203,Direct,Boeing 787,First Class,Travel Agency,298096.9212,46714.53818,344811.4594,Regular,19
NovoAir,ZYL,"Osmani International Airport, Sylhet",DXB,Dubai International Airport,2025-06-23,2025-06-23,4.440802777,Direct,Boeing 737,Business,Direct Booking,15528.10454,6329.215681,21857.32022,Regular,86
Vistara,CXB,Cox's Bazar Airport,DAC,"Hazrat Shahjalal International Airport, Dhaka",2025-10-05,2025-10-05,1.019761989,Direct,Airbus A320,Economy,Online Website,3592.077014,200,3792.077014,Regular,30
Air Astra,JSR,Jessore Airport,DAC,"Hazrat Shahjalal International Airport, Dhaka",2025-12-21,2025-12-21,0.5,Direct,Airbus A320,Economy,Travel Agency,3286.564171,200,3486.564171,Winter Holidays,69
Air India,RJH,"Shah Makhdum Airport, Rajshahi",DAC,"Hazrat Shahjalal International Airport, Dhaka",2025-05-05,2025-05-05,0.598750248,Direct,Airbus A320,First Class,Online Website,14178.83402,200,14378.83402,Regular,29
Malaysian Airlines,BZL,Barisal Airport,JFK,"John F. Kennedy International Airport, New York",2026-02-12,2026-02-12,14.74345569,1 Stop,Boeing 777,Business,Online Website,138574.3739,26786.15609,165360.53,Winter Holidays,78
Air Astra,CXB,Cox's Bazar Airport,CCU,"Netaji Subhas Chandra Bose International Airport, Kolkata",2025-07-03,2025-07-03,1.238794914,Direct,Airbus A320,Business,Travel Agency,29806.87801,6471.031702,36277.90971,Regular,49
IndiGo,SPD,Saidpur Airport,RJH,"Shah Makhdum Airport, Rajshahi",2025-04-08,2025-04-08,0.536116659,Direct,Airbus A320,Economy,Travel Agency,2303.514391,200,2503.514391,Regular,73
Lufthansa,JSR,Jessore Airport,JFK,"John F. Kennedy International Airport, New York",2025-08-26,2025-08-27,14.64853739,1 Stop,Boeing 777,First Class,Direct Booking,83102.42027,18465.36304,101567.7833,Regular,87
Air Arabia,SPD,Saidpur Airport,DXB,Dubai International Airport,2025-06-04,2025-06-04,3.379857733,Direct,Boeing 737,Economy,Direct Booking,70364.20993,14554.63149,84918.84142,Hajj,18
Turkish Airlines,JSR,Jessore Airport,SIN,Singapore Changi Airport,2025-08-02,2025-08-02,3.02521746,Direct,Boeing 787,First Class,Direct Booking,189760.1664,34464.02496,224224.1913,Regular,74
Air Arabia,BZL,Barisal Airport,DEL,"Indira Gandhi International Airport, Delhi",2025-11-10,2025-11-10,2.207528282,Direct,Boeing 787,First Class,Travel Agency,130523.3347,21578.5002,182522.2019,Regular,2
Kuwait Airways,DAC,"Hazrat Shahjalal International Airport, Dhaka",KUL,Kuala Lumpur International Airport,2026-01-09,2026-01-10,3.081093342,Direct,Boeing 737,Business,Travel Agency,118112.17,23716.82549,141828.9955,Winter Holidays,25
FlyDubai,ZYL,"Osmani International Airport, Sylhet",JFK,"John F. Kennedy International Airport, New York",2025-12-30,2025-12-30,12.99464877,2 Stops,Boeing 777,Economy,Direct Booking,36363.09337,11454.46401,47817.55738,Winter Holidays,69
US-Bangla Airlines,CGP,"Shah Amanat International Airport, Chittagong",BZL,Barisal Airport,2025-03-23,2025-03-23,0.60524608,Direct,Airbus A320,First Class,Direct Booking,13705.25489,200,16686.30587,Regular,1
Biman Bangladesh Airlines,ZYL,"Osmani International Airport, Sylhet",CCU,"Netaji Subhas Chandra Bose International Airport, Kolkata",2025-12-22,2025-12-22,1.460545609,Direct,Airbus A320,Economy,Online Website,58816.17697,10822.42655,69638.60352,Winter Holidays,10
Cathay Pacific,SPD,Saidpur Airport,JSR,Jessore Airport,2025-12-15,2025-12-15,0.864142556,Direct,Airbus A320,First Class,Online Website,14876.20484,200,15076.20484,Winter Holidays,41
IndiGo,RJH,"Shah Makhdum Airport, Rajshahi",LHR,London Heathrow Airport,2025-06-11,2025-06-12,8.953086657,1 Stop,Airbus A350,First Class,Direct Booking,269691.6175,46453.74263,316145.3601,Regular,47
Air India,ZYL,"Osmani International Airport, Sylhet",BZL,Barisal Airport,2025-03-11,2025-03-11,1.055299026,Direct,Airbus A320,First Class,Online Website,11925.42648,200,12125.42648,Regular,44
Saudia,JSR,Jessore Airport,SIN,Singapore Changi Airport,2026-01-07,2026-01-07,3.190548974,1 Stop,Boeing 737,First Class,Online Website,72936.06207,16940.40931,89876.47138,Winter Holidays,83
Thai Airways,SPD,Saidpur Airport,JSR,Jessore Airport,2025-05-10,2025-05-10,1.020802939,Direct,Airbus A320,Business,Online Website,8832.159896,200,9032.159896,Regular,16
Saudia,ZYL,"Osmani International Airport, Sylhet",DXB,Dubai International Airport,2025-10-15,2025-10-15,4.129232842,Direct,Boeing 737,Business,Travel Agency,113088.4907,20963.2736,134051.7643,Regular,64
SriLankan Airlines,CGP,"Shah Amanat International Airport, Chittagong",JFK,"John F. Kennedy International Airport, New York",2025-09-26,2025-09-26,14.68938064,1 Stop,Boeing 777,First Class,Online Website,114871.1476,23230.67213,138101.8197,Regular,54
US-Bangla Airlines,SPD,Saidpur Airport,DAC,"Hazrat Shahjalal International Airport, Dhaka",2025-09-06,2025-09-06,0.951808757,Direct,Airbus A320,First Class,Travel Agency,8069.322936,200,8269.322936,Regular,68
SriLankan Airlines,DAC,"Hazrat Shahjalal International Airport, Dhaka",BZL,Barisal Airport,2025-06-08,2025-06-08,0.5,Direct,Airbus A320,Economy,Online Website,4446.614793,200,4646.614793,Hajj,86
Air Astra,RJH,"Shah Makhdum Airport, Rajshahi",JFK,"John F. Kennedy International Airport, New York",2025-08-23,2025-08-23,12.98159377,1 Stop,Boeing 777,First Class,Travel Agency,77587.87813,17638.18172,95226.05985,Regular,70
Air Arabia,CGP,"Shah Amanat International Airport, Chittagong",SPD,Saidpur Airport,2025-12-19,2025-12-19,1.730673494,Direct,Airbus A320,Economy,Direct Booking,2627.187416,200,2827.187416,Winter Holidays,80
US-Bangla Airlines,JSR,Jessore Airport,DXB,Dubai International Airport,2025-08-31,2025-09-01,3.768515525,1 Stop,Boeing 737,Economy,Online Website,41922.23572,10288.33536,52210.57107,Regular,89
Saudia,JSR,Jessore Airport,KUL,Kuala Lumpur International Airport,2025-01-19,2025-01-19,2.866689017,Direct,Boeing 787,First Class,Travel Agency,53547.77125,14032.16569,67579.93693,Regular,9
Saudia,DAC,"Hazrat Shahjalal International Airport, Dhaka",IST,Istanbul Airport,2025-08-02,2025-08-03,6.264817512,1 Stop,Boeing 777,Economy,Online Website,30641.73748,8596.260622,39237.9981,Regular,52
